,decade,artist,song,track id,release date,song length (ms),explicit,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time signature,valence
24,1980-1989,Rick Astley,Never Gonna Give You Up,4cOdK2wGLETKBW3PvgPWqT,1987-11-12,213573,False,82,0.115,0.721,0.939,3.79e-05,8,0.108,-11.823,1,0.0376,113.309,4,0.914
25,1980-1989,Bon Jovi,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,1986-08-16,222706,False,82,0.0663,0.541,0.96,2.25e-06,0,0.344,-2.947,0,0.0505,122.803,4,0.812
26,1980-1989,Bruce Springsteen,Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,1984-06-04,241306,False,81,0.0115,0.527,0.942,0.0,1,0.188,-5.64,0,0.0366,148.723,4,0.495
27,1980-1989,The Clash,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,1982,188986,False,81,0.0804,0.743,0.836,0.0,2,0.384,-6.465,1,0.116,113.375,4,0.82
28,1980-1989,Jona Lewie,Stop The Cavalry,2bPQuniBB9x0fRtxDly0kr,1982,176360,False,81,0.35,0.698,0.384,0.00239,9,0.0772,-9.471,1,0.0398,97.215,4,0.745
29,1980-1989,Pretenders,2000 Miles - 2007 Remaster,5wTM2Bm8phDwHAuOsfBwhU,1984,220426,False,80,0.00292,0.22,0.708,0.0267,7,0.102,-9.051,1,0.035,66.214,4,0.453
30,1980-1989,Michael Jackson,Smooth Criminal - 2012 Remaster,2bCQHF9gdG5BNDVuEIEnNk,1987-08-31,257760,False,80,0.247,0.853,0.981,0.468,8,0.306,-3.947,1,0.0751,118.193,4,0.595
31,1980-1989,Tracy Chapman,Fast Car,2M9ro2krNb7nr7HSprkEgo,1988-04-05,296800,False,80,0.313,0.711,0.292,0.0,4,0.131,-15.523,0,0.037,103.951,4,0.194
32,1980-1989,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,1985,238733,False,80,0.0116,0.596,0.869,0.173,10,0.0678,-11.97,1,0.037,109.902,4,0.944
33,1980-1989,Van Halen,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,1984-01-04,241599,False,80,0.171,0.572,0.835,0.000377,0,0.0702,-6.219,1,0.0317,129.981,4,0.795
34,1980-1989,Foreigner,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,1984-12-12,304786,False,80,0.193,0.477,0.471,1.76e-06,6,0.131,-10.036,1,0.0277,81.204,4,0.423
35,1980-1989,Cyndi Lauper,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,1983-10-14,238266,False,80,0.22,0.71,0.799,0.000602,6,0.349,-4.897,1,0.0328,120.372,4,0.725
